I_15min,I_30min,I_1h,I_2h,I_3h,I_6h,I_8h,I_10h,I_12h,I_24h,date,id_estacao,daily_total_mm,api_1d,api_2d,api_3d,api_4d,api_5d,api_6d,api_7d,api_8d,api_9d,api_10d,classificacao
4.8,4.8,4.0,2.7,2.066666666666667,1.0666666666666667,0.8,0.66,0.55,0.4666666666666666,2015-04-22,22,11.2,2.04,2.04,2.04,2.04,3.459857,3.459857,3.459857,3.459857,3.459857,3.459857,ESA
20.8,16.4,12.6,6.5,4.866666666666667,2.5333333333333337,2.0,1.6,1.366666666666667,0.6833333333333335,2015-05-05,22,16.400000000000002,4.93,5.0745,5.0745,5.0745,7.2930265625,7.6701760781249995,7.6701760781249995,7.6701760781249995,7.6701760781249995,7.6701760781249995,ESA
19.2,14.399999999999999,7.199999999999999,3.5999999999999996,2.466666666666667,1.633333333333333,1.225,0.9800000000000001,1.0166666666666666,0.5166666666666667,2015-05-13,22,12.400000000000002,3.4,5.278499999999999,5.892624999999999,5.892624999999999,7.756187312499999,7.756187312499999,7.756187312499999,12.225031923140623,13.5684102115832,13.607785092451346,ESA
4.0,3.2,2.8,2.3,1.9333333333333336,1.5333333333333334,1.25,1.02,0.8666666666666667,0.43333333333333335,2015-06-15,22,10.4,0.0,0.0,1.7195499999999997,1.7195499999999997,1.7195499999999997,1.7195499999999997,1.7195499999999997,1.7195499999999997,1.7195499999999997,1.7195499999999997,ESA
19.2,15.6,8.4,5.7,4.666666666666667,3.0666666666666664,2.6,2.3200000000000003,1.9666666666666668,1.4749999999999999,2015-06-19,22,35.400000000000006,0.0,0.1445,3.9520749999999993,9.380939999999999,9.380939999999999,9.380939999999999,10.278555847187498,10.278555847187498,10.278555847187498,10.278555847187498,ESA
19.2,12.399999999999999,10.0,8.3,5.733333333333333,2.8666666666666667,2.15,1.7399999999999998,1.45,0.7999999999999999,2015-09-08,22,19.2,0.0,0.1445,2.232525,2.54572875,2.54572875,3.4508875874999996,3.5150030051562497,3.5150030051562497,3.5150030051562497,3.5150030051562497,ESA
16.0,15.6,9.4,6.0,4.6000000000000005,2.3666666666666667,1.775,1.42,1.1833333333333333,0.8666666666666667,2015-09-11,22,20.8,0.17,3.4935,15.284699999999997,15.284699999999997,15.373441062499998,16.655749415624996,16.848095668593746,16.848095668593746,17.403976339673434,17.44335122054158,ESA
4.8,4.0,3.2,2.7,2.6666666666666665,2.0,1.675,1.4,1.1833333333333333,0.6,2015-09-13,22,14.399999999999999,7.819999999999999,22.848,22.970824999999998,25.37205375,33.891195749999994,33.891195749999994,33.95531116765624,34.881778952789055,35.020749120558975,35.020749120558975,ESA
5.6,4.8,2.8,2.5,2.1333333333333333,1.4333333333333333,1.075,0.86,0.7166666666666667,0.6166666666666667,2015-11-02,22,14.8,0.17,0.17,0.6613,0.76570125,2.4517814375,2.828930953125,2.828930953125,4.899858943421875,4.946182332678515,4.946182332678515,ESA
31.2,17.2,9.4,5.0,3.4000000000000004,1.8,1.35,1.08,0.9,0.4583333333333333,2015-11-06,22,11.0,2.89,3.468,9.486425,17.212117499999998,17.300858562499997,17.300858562499997,17.557320233124997,17.61181833813281,18.491962734008982,18.688837138349705,ESA
50.4,38.4,24.8,12.7,8.733333333333333,4.433333333333333,3.3249999999999997,2.6599999999999997,2.2166666666666663,1.1083333333333332,2015-11-21,22,26.6,2.89,2.89,2.89,2.89,2.89,2.965429903125,2.965429903125,2.965429903125,2.965429903125,2.965429903125,ESA
57.6,30.8,15.6,7.800000000000001,10.266666666666667,5.433333333333334,4.075,3.2600000000000002,2.716666666666667,1.4000000000000001,2015-11-23,22,33.6,0.0,19.218499999999995,21.306524999999993,21.306524999999993,21.306524999999993,21.306524999999993,21.306524999999993,21.361023105007806,21.361023105007806,21.361023105007806,ESA
71.2,61.2,59.0,36.1,24.733333333333334,12.4,9.3,7.44,6.2,3.1,2015-11-28,22,74.4,0.0,0.0,0.0,0.6264074999999999,15.534905999999998,15.534905999999998,24.062256548281244,24.988724333414055,24.988724333414055,24.988724333414055,ESA
12.8,9.600000000000001,6.8,5.0,4.2,2.833333333333334,2.55,2.46,2.1833333333333336,1.3083333333333333,2015-11-30,22,31.400000000000002,6.12,59.873999999999995,59.873999999999995,59.873999999999995,59.873999999999995,60.32657941874999,71.09796958499999,71.09796958499999,77.2589803561332,77.92835333089165,ESA
20.0,15.2,9.8,5.1000000000000005,3.8666666666666667,2.2666666666666666,1.7,1.3599999999999999,1.1333333333333333,0.5666666666666667,2015-12-06,22,13.6,0.17,0.3145,0.8058,0.91020125,0.91020125,12.752696040624999,15.060851076249998,35.334146139156246,35.334146139156246,35.334146139156246,ESA
8.8,6.800000000000001,5.4,3.3000000000000003,2.266666666666667,1.866666666666667,1.65,1.4,1.1833333333333333,0.775,2015-12-07,22,18.6,11.559999999999999,11.7045,11.827325,12.24493,12.3336710625,12.3336710625,22.399791634531248,24.3617234148125,41.59402421828281,41.59402421828281,ESA
96.8,73.19999999999999,45.199999999999996,25.3,17.266666666666666,8.766666666666666,6.574999999999999,5.26,4.383333333333333,2.1916666666666664,2015-12-12,22,52.6,0.0,0.0,0.12282499999999999,0.22722624999999996,8.480145062499998,13.609378474999996,13.673493892656246,13.72799199766406,13.913285554690622,13.952660435558768,ESA
76.0,41.6,22.6,11.4,7.6000000000000005,3.8000000000000003,2.85,2.2800000000000002,1.9000000000000001,0.9500000000000001,2015-12-21,22,22.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.326988630046875,12.510040004543354,12.510040004543354,ESA
11.2,8.8,6.8,5.3999999999999995,3.8000000000000003,2.2666666666666666,1.7,1.3599999999999999,1.1333333333333333,0.5666666666666667,2016-01-01,22,13.6,0.0,0.0,0.0,0.31320375,0.4019448125,0.4019448125,0.4019448125,0.4019448125,0.4019448125,0.4019448125,ESA
16.0,8.4,5.6,4.6000000000000005,4.266666666666667,2.5,1.875,1.5,1.25,0.9166666666666666,2016-01-12,22,22.0,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,1.5601443958761716,3.095764749733808,ESA
62.4,46.0,31.6,17.3,12.200000000000001,6.933333333333334,5.2,4.16,3.466666666666667,1.7583333333333335,2016-01-14,22,42.199999999999996,5.95,21.845,22.336299999999998,22.336299999999998,22.336299999999998,22.336299999999998,22.336299999999998,22.336299999999998,22.336299999999998,22.336299999999998,ESA
20.8,20.0,17.0,11.700000000000001,9.866666666666667,6.666666666666667,5.5,4.4,3.6666666666666665,1.875,2016-01-15,22,45.0,35.870000000000005,40.9275,54.43825,54.855855,54.855855,54.855855,54.855855,54.855855,54.855855,54.855855,ESA
10.4,10.0,8.8,7.0,6.6000000000000005,5.666666666666667,4.6000000000000005,3.7,3.1,1.55,2016-01-16,22,37.2,38.25,68.73949999999999,73.03837499999999,84.52251249999999,84.87747674999999,84.87747674999999,84.87747674999999,84.87747674999999,84.87747674999999,84.87747674999999,ESA
4.8,2.8,2.0,1.7000000000000002,1.3333333333333333,1.0,0.925,0.8200000000000001,0.7166666666666668,0.5666666666666668,2016-01-19,22,13.600000000000001,3.06,3.06,25.90545,49.39573125,68.1200954375,70.760142046875,77.8128379890625,78.03083040909375,78.03083040909375,78.03083040909375,ESA
11.2,5.6,3.0,2.1,1.7333333333333332,0.9333333333333332,0.75,0.74,0.6333333333333333,0.44166666666666665,2016-01-22,22,10.6,3.9099999999999997,4.632499999999999,12.9846,14.8638225,14.8638225,28.893784481249998,43.319753453906245,54.81885361055468,56.4401722345371,60.771409130033,ESA
11.2,10.0,7.999999999999999,4.6,3.0666666666666664,1.5999999999999999,1.2,1.04,0.9,0.525,2016-02-11,22,12.600000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ESA
9.6,7.999999999999999,5.199999999999999,4.8,4.066666666666666,2.033333333333333,1.525,1.22,1.0166666666666666,0.5166666666666667,2016-02-16,22,12.399999999999999,1.7,1.7,1.7,1.7,7.290686937499999,7.290686937499999,7.290686937499999,7.290686937499999,7.290686937499999,7.290686937499999,ESA
55.2,44.400000000000006,27.8,14.0,9.333333333333334,4.666666666666667,3.5,2.8,2.3333333333333335,1.1666666666666667,2016-02-20,22,28.0,0.17,1.037,4.353275,10.8261525,11.713563124999999,11.713563124999999,11.713563124999999,11.713563124999999,14.631936648168356,14.631936648168356,ESA
21.6,15.200000000000001,8.8,5.2,3.5333333333333337,1.7666666666666668,1.3250000000000002,1.06,0.8833333333333334,0.4416666666666667,2016-02-21,22,10.600000000000001,23.8,23.9445,24.68145,27.50028375,33.002229625,33.75652865625,33.75652865625,33.75652865625,33.75652865625,36.237146150943104,ESA
24.8,20.800000000000004,20.4,15.6,12.066666666666668,7.7,5.8,4.64,3.8833333333333333,1.95,2016-02-29,22,46.8,0.0,0.0,0.0,0.10440124999999999,0.10440124999999999,0.10440124999999999,0.6173245912499998,3.505724156664062,9.990998652593747,10.030373533461892,ESA
9.6,6.8,6.0,5.3,4.133333333333334,2.566666666666667,2.05,1.6600000000000001,1.3833333333333335,0.7083333333333334,2016-03-01,22,17.0,39.779999999999994,39.779999999999994,39.779999999999994,39.779999999999994,39.86874106249999,39.86874106249999,39.86874106249999,40.304725902562495,42.75986553316445,48.27234885470468,ESA
14.4,12.4,11.6,9.2,6.333333333333333,3.4000000000000004,2.575,2.06,1.7333333333333334,0.8666666666666667,2016-03-16,22,20.8,0.17,0.17,0.292825,0.60602875,1.2272161874999998,1.2272161874999998,1.2272161874999998,1.2272161874999998,1.2272161874999998,1.463465472708867,ESA
40.0,28.0,14.2,7.2,4.866666666666666,2.433333333333333,1.825,1.46,1.2166666666666666,0.6083333333333333,2016-03-17,22,14.6,17.68,17.8245,17.8245,17.92890125,18.1951244375,18.723133759375,18.723133759375,18.723133759375,18.723133759375,18.723133759375,ESA
6.4,5.6,5.6,5.0,3.733333333333334,2.3666666666666667,1.7750000000000001,1.4200000000000002,1.1833333333333333,0.5916666666666667,2016-03-23,22,14.2,0.0,0.0,0.0,0.0,0.0,5.5063829281249985,12.174386364374996,12.228884469382809,12.228884469382809,12.268259350250954,ESA
4.8,4.4,4.0,3.1999999999999997,3.1333333333333333,2.0000000000000004,1.5250000000000001,1.2200000000000002,1.0166666666666668,0.5083333333333334,2016-04-29,22,12.200000000000001,0.0,0.867,0.867,0.867,0.867,0.867,0.867,0.867,0.867,0.867,ESA
17.6,15.600000000000001,9.600000000000001,5.0,3.9333333333333336,2.1666666666666665,1.625,1.3,1.1833333333333333,0.6083333333333333,2016-05-18,22,14.6,1.1900000000000002,1.1900000000000002,1.1900000000000002,1.2944012500000002,4.13411525,4.888414281249999,4.888414281249999,4.888414281249999,4.888414281249999,4.9277891621181436,ESA
24.8,16.0,10.8,6.800000000000001,6.066666666666667,3.833333333333334,2.95,2.4,2.0166666666666666,1.0083333333333333,2016-06-05,22,24.200000000000003,1.36,5.694999999999999,8.151499999999999,8.255901249999999,8.255901249999999,8.70848066875,8.70848066875,8.70848066875,8.70848066875,8.70848066875,ESA
12.8,8.4,7.0,5.1000000000000005,3.6666666666666665,3.4333333333333336,2.6,2.08,1.7333333333333334,1.1416666666666668,2016-06-07,22,27.400000000000002,2.55,20.034499999999998,21.0171,24.1491375,25.923958749999997,25.999388653124996,25.999388653124996,26.32637728317187,26.32637728317187,26.32637728317187,ESA
12.0,9.2,6.0,5.0,3.733333333333334,2.1333333333333333,1.8250000000000002,1.54,1.2833333333333334,0.6416666666666667,2016-08-21,22,15.4,1.02,1.02,1.02,1.02,1.02,1.095429903125,1.095429903125,1.095429903125,1.095429903125,1.095429903125,ESA
12.0,8.8,6.199999999999999,3.6999999999999997,2.6666666666666665,1.8666666666666665,1.525,1.26,1.05,0.5416666666666666,2016-08-22,22,13.0,13.09,13.956999999999999,13.956999999999999,13.956999999999999,13.956999999999999,13.956999999999999,14.02111541765625,14.02111541765625,14.02111541765625,14.02111541765625,ESA
48.0,24.8,14.0,8.8,6.0,3.0,2.25,1.8,1.5,0.75,2016-08-31,22,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05449810500781249,3.0655184066894523,6.09738423353658,ESA
10.4,7.600000000000001,6.0,5.2,3.866666666666667,2.8666666666666667,2.325,1.8800000000000001,1.5666666666666667,0.8083333333333332,2016-10-04,22,19.4,5.61,5.61,6.1013,7.45851625,7.45851625,7.45851625,7.45851625,8.54847835015625,9.33597596751914,9.33597596751914,ESA
12.8,11.600000000000001,9.0,7.2,5.2,2.9,2.45,2.12,1.8499999999999999,1.2249999999999999,2016-11-04,22,29.400000000000002,5.1,5.1,5.1,5.1,5.1,5.326289709375,5.326289709375,6.361753704523437,6.361753704523437,6.361753704523437,ESA
12.0,11.2,7.4,5.1000000000000005,3.6,2.0,1.55,1.26,1.05,0.6083333333333333,2016-11-05,22,14.6,24.99,29.324999999999996,29.324999999999996,29.324999999999996,29.324999999999996,29.324999999999996,29.517346252968746,29.517346252968746,30.39749064884492,30.39749064884492,ESA
27.2,23.6,18.8,12.0,8.666666666666666,4.733333333333333,3.7,3.04,2.6333333333333333,1.4000000000000001,2016-11-13,22,33.6,0.0,2.601,5.5488,5.5488,5.5488,5.624229903125,5.94480699140625,9.923168656976562,16.732706877702732,17.913953303747068,ESA
8.0,5.200000000000001,4.0,3.3,3.466666666666667,2.8333333333333335,2.65,2.4200000000000004,2.1,1.175,2016-11-14,22,28.200000000000003,28.56,28.56,30.77085,33.27648,33.27648,33.27648,33.340595417656246,33.61308594269531,36.99469335843007,42.782800846047316,ESA
79.2,46.800000000000004,25.000000000000004,13.3,8.933333333333334,4.466666666666667,3.35,2.68,2.2333333333333334,1.1166666666666667,2016-12-03,22,26.800000000000004,0.0,0.0,1.8423749999999997,2.0511774999999997,2.0511774999999997,2.0511774999999997,2.0511774999999997,2.0511774999999997,2.0511774999999997,2.0905523808681443,ESA
50.4,26.0,13.4,9.2,6.133333333333333,3.0999999999999996,2.375,1.92,1.5999999999999999,0.8333333333333334,2016-12-04,22,20.0,22.78,22.78,22.78,24.34601875,24.523500875,24.523500875,24.523500875,24.523500875,24.523500875,24.523500875,ESA
