time_step,time_step_col,antecedent_days,a,b,c,POD,FAR,PPV,score,full_POD,full_FAR,full_PPV
1/6,I_15min,1,31.026939,-0.687368,41.000623,0.347458,0.115356,0.115493,0.035500,0.348837,0.083256,0.111940
1/6,I_15min,2,25.077551,-0.635263,40.982407,0.396552,0.150999,0.101322,0.034112,0.393701,0.105559,0.100000
1/6,I_15min,3,7.229388,-0.947895,41.873329,0.474138,0.214206,0.087163,0.032475,0.464567,0.145927,0.087149
1/6,I_15min,4,7.229388,-1.000000,40.982407,0.491379,0.227561,0.085329,0.032388,0.480315,0.154374,0.085434
1/6,I_15min,5,13.178776,-0.791579,39.200563,0.517241,0.240223,0.085106,0.033446,0.503937,0.162450,0.085220
1/6,I_15min,6,25.077551,-0.583158,39.200563,0.500000,0.220000,0.090484,0.035289,0.488189,0.149486,0.090247
1/6,I_15min,7,31.026939,-0.478947,39.200563,0.491379,0.217375,0.090476,0.034794,0.480315,0.147943,0.090237
1/6,I_15min,8,25.077551,-0.374737,39.200563,0.508621,0.221505,0.091900,0.036389,0.496063,0.150675,0.091570
1/6,I_15min,9,25.077551,-0.374737,39.200563,0.508621,0.225438,0.090630,0.035704,0.496063,0.153214,0.090387
1/6,I_15min,10,42.925714,-0.374737,39.200563,0.500000,0.217524,0.092210,0.036076,0.488189,0.148211,0.091852
1/2,I_30min,1,39.432653,-0.531053,29.876073,0.318966,0.096408,0.123333,0.035546,0.333333,0.071362,0.123209
1/2,I_30min,2,10.608163,-0.322632,29.209023,0.464912,0.203765,0.087603,0.032429,0.464567,0.139338,0.090352
1/2,I_30min,3,5.804082,-0.114211,29.209023,0.500000,0.234792,0.082609,0.031606,0.496063,0.159386,0.085366
1/2,I_30min,4,5.804082,-0.218421,29.209023,0.508772,0.245634,0.080668,0.030960,0.503937,0.166194,0.083442
1/2,I_30min,5,10.608163,-1.000000,26.427211,0.578947,0.294686,0.076834,0.031374,0.566929,0.197446,0.079383
1/2,I_30min,6,44.236735,-0.791579,26.427211,0.526316,0.249435,0.083102,0.032828,0.519685,0.168381,0.085714
1/2,I_30min,7,39.432653,-0.426842,26.427211,0.517544,0.244790,0.083688,0.032710,0.511811,0.165504,0.086321
1/2,I_30min,8,34.628571,-0.322632,34.077193,0.403509,0.155598,0.100877,0.034371,0.409449,0.108968,0.103175
1/2,I_30min,9,236.400000,-0.166316,27.818117,0.377193,0.136554,0.106965,0.034837,0.385827,0.096907,0.108889
1/2,I_30min,10,20.216327,-0.062105,26.427211,0.482456,0.207002,0.091820,0.035129,0.480315,0.141683,0.094281
1,I_1h,1,4.035918,-0.166316,21.117523,0.474138,0.167001,0.099099,0.039140,0.488372,0.126632,0.103960
1,I_1h,2,4.035918,-0.166316,21.094164,0.473684,0.170535,0.096257,0.037820,0.488189,0.128548,0.101639
1,I_1h,3,0.620000,-0.426842,22.532402,0.491228,0.184308,0.093178,0.037336,0.503937,0.138371,0.098462
1,I_1h,4,0.620000,-0.322632,22.532402,0.491228,0.184621,0.093178,0.037321,0.503937,0.138534,0.098462
1,I_1h,5,0.620000,-0.426842,22.532402,0.491228,0.185976,0.092562,0.037013,0.503937,0.139513,0.097859
1,I_1h,6,34.779184,-0.791579,22.532402,0.412281,0.134134,0.107306,0.038306,0.433071,0.103085,0.113169
1,I_1h,7,0.620000,-0.166316,22.532402,0.491228,0.183293,0.095400,0.038274,0.503937,0.137359,0.100787
1,I_1h,8,0.620000,-0.114211,22.532402,0.491228,0.182227,0.096055,0.038587,0.503937,0.136692,0.101426
1,I_1h,9,0.620000,-0.114211,22.532402,0.491228,0.181976,0.096386,0.038731,0.503937,0.136539,0.101749
1,I_1h,10,34.779184,-0.478947,21.094164,0.473684,0.169556,0.099448,0.039119,0.488189,0.127901,0.104907
2,I_2h,1,4.831224,-0.322632,9.834473,0.603604,0.217178,0.086452,0.040850,0.604651,0.175140,0.094089
2,I_2h,2,4.831224,-0.218421,9.846246,0.605505,0.222359,0.083969,0.039538,0.606299,0.178278,0.091995
2,I_2h,3,2.610612,-0.114211,10.442988,0.623853,0.235788,0.082225,0.039201,0.622047,0.188666,0.089977
2,I_2h,4,2.610612,-0.114211,10.442988,0.623853,0.240747,0.080760,0.038253,0.622047,0.192435,0.088466
2,I_2h,5,2.610612,-0.062105,12.233215,0.522936,0.177605,0.090764,0.039034,0.535433,0.144479,0.100147
2,I_2h,6,2.610612,-0.062105,12.233215,0.532110,0.178155,0.092949,0.040648,0.543307,0.144702,0.102374
2,I_2h,7,4.831224,-0.114211,10.442988,0.614679,0.225817,0.086008,0.040929,0.614173,0.180659,0.094089
2,I_2h,8,4.831224,-0.062105,10.442988,0.605505,0.215126,0.088829,0.042216,0.606299,0.172613,0.097100
2,I_2h,9,4.831224,-0.062105,10.442988,0.614679,0.217017,0.089572,0.043110,0.614173,0.173997,0.097744
2,I_2h,10,4.831224,-0.062105,10.442988,0.614679,0.218750,0.088977,0.042729,0.614173,0.175290,0.097136
3,I_3h,1,3.639320,-0.062105,8.299657,0.522124,0.156911,0.103327,0.045484,0.527132,0.129431,0.109149
3,I_3h,2,1.976327,-0.166316,9.938726,0.504505,0.152469,0.101818,0.043536,0.511811,0.125733,0.108153
3,I_3h,3,1.976327,-0.166316,9.938726,0.504505,0.154610,0.101083,0.043112,0.511811,0.127509,0.107438
3,I_3h,4,3.639320,-0.062105,8.320794,0.540541,0.174075,0.096774,0.043204,0.543307,0.142317,0.102832
3,I_3h,5,1.976327,-0.114211,9.938726,0.504505,0.156357,0.100179,0.042638,0.511811,0.128872,0.106557
3,I_3h,6,3.639320,-0.062105,8.320794,0.549550,0.179560,0.096519,0.043518,0.551181,0.146376,0.102639
3,I_3h,7,1.976327,-0.114211,9.938726,0.504505,0.156844,0.101633,0.043232,0.511811,0.128939,0.108153
3,I_3h,8,1.976327,-1.000000,9.707593,0.549550,0.179626,0.097289,0.043861,0.551181,0.146336,0.103397
3,I_3h,9,1.976327,-1.000000,9.707593,0.549550,0.180140,0.097289,0.043834,0.551181,0.146689,0.103397
3,I_3h,10,1.976327,-0.895789,9.707593,0.549550,0.180573,0.097134,0.043741,0.551181,0.147002,0.103245
6,I_6h,1,1.146122,-0.791579,6.285919,0.486726,0.132357,0.110442,0.046640,0.496124,0.113340,0.116364
6,I_6h,2,1.146122,-0.635263,6.392253,0.477477,0.127295,0.111345,0.046397,0.488189,0.109078,0.117647
6,I_6h,3,1.146122,-0.687368,6.392253,0.477477,0.130145,0.109731,0.045575,0.488189,0.111452,0.116105
