time_step,time_step_col,antecedent_days,a,b,c,POD,FAR,PPV,score,full_POD,full_FAR,full_PPV,id_estacao
1/6,I_15min,1,44.316735,-0.010000,51.461224,0.333333,0.000000,1.000000,0.333333,0.250000,0.010959,0.200000,4
1/6,I_15min,2,60.215510,-0.010000,50.389116,0.333333,0.000000,1.000000,0.333333,0.250000,0.011019,0.200000,4
1/6,I_15min,3,54.915918,-0.010000,52.533333,0.333333,0.005155,0.500000,0.165808,0.250000,0.013889,0.166667,4
1/6,I_15min,4,60.215510,-0.010000,50.389116,0.333333,0.005155,0.500000,0.165808,0.250000,0.013889,0.166667,4
1/6,I_15min,5,60.215510,-0.010000,51.461224,0.333333,0.005155,0.500000,0.165808,0.250000,0.013889,0.166667,4
1/6,I_15min,6,60.215510,-0.010000,52.533333,0.333333,0.005181,0.500000,0.165803,0.250000,0.014045,0.166667,4
1/6,I_15min,7,65.515102,-0.010000,52.533333,0.333333,0.005236,0.500000,0.165794,0.250000,0.014124,0.166667,4
1/6,I_15min,8,70.814694,-0.010000,51.461224,0.333333,0.005236,0.500000,0.165794,0.250000,0.014124,0.166667,4
1/6,I_15min,9,70.814694,-0.010000,51.461224,0.333333,0.005236,0.500000,0.165794,0.250000,0.014164,0.166667,4
1/6,I_15min,10,70.814694,-0.010000,51.461224,0.333333,0.005236,0.500000,0.165794,0.250000,0.014164,0.166667,4
1/2,I_30min,1,31.611429,-0.010000,43.600000,0.333333,0.000000,1.000000,0.333333,0.250000,0.010959,0.200000,4
1/2,I_30min,2,48.600816,-0.010000,42.710204,0.333333,0.000000,1.000000,0.333333,0.250000,0.008264,0.250000,4
1/2,I_30min,3,48.600816,-0.010000,43.600000,0.333333,0.004587,0.500000,0.165902,0.250000,0.011111,0.200000,4
1/2,I_30min,4,52.848163,-0.010000,41.820408,0.333333,0.004587,0.500000,0.165902,0.250000,0.011111,0.200000,4
1/2,I_30min,5,52.848163,-0.010000,41.820408,0.333333,0.004587,0.500000,0.165902,0.250000,0.011111,0.200000,4
1/2,I_30min,6,31.611429,-0.010000,43.600000,0.333333,0.009302,0.333333,0.110078,0.250000,0.014045,0.166667,4
1/2,I_30min,7,31.611429,-0.010000,43.600000,0.333333,0.009390,0.333333,0.110068,0.250000,0.014124,0.166667,4
1/2,I_30min,8,31.611429,-0.010000,43.600000,0.333333,0.009390,0.333333,0.110068,0.250000,0.014124,0.166667,4
1/2,I_30min,9,31.611429,-0.010000,43.600000,0.333333,0.009434,0.333333,0.110063,0.250000,0.014164,0.166667,4
1/2,I_30min,10,35.858776,-0.010000,40.930612,0.333333,0.009434,0.333333,0.110063,0.250000,0.014164,0.166667,4
1,I_1h,1,10.279592,-0.010000,25.273469,0.500000,0.036290,0.100000,0.048185,0.500000,0.035616,0.133333,4
1,I_1h,2,10.279592,-0.010000,25.800000,0.500000,0.036437,0.100000,0.048178,0.500000,0.033058,0.142857,4
1,I_1h,3,10.279592,-0.010000,25.800000,0.500000,0.040650,0.090909,0.043607,0.500000,0.036111,0.133333,4
1,I_1h,4,10.279592,-0.010000,25.800000,0.500000,0.044715,0.083333,0.039804,0.500000,0.038889,0.125000,4
1,I_1h,5,10.279592,-0.010000,24.746939,0.500000,0.052846,0.071429,0.033827,0.500000,0.044444,0.111111,4
1,I_1h,6,10.279592,-0.010000,24.746939,0.500000,0.053498,0.071429,0.033804,0.500000,0.044944,0.111111,4
1,I_1h,7,10.279592,-0.010000,25.273469,0.500000,0.053942,0.071429,0.033788,0.500000,0.045198,0.111111,4
1,I_1h,8,10.279592,-0.010000,25.273469,0.500000,0.058091,0.066667,0.031397,0.500000,0.048023,0.105263,4
1,I_1h,9,10.279592,-0.010000,25.800000,0.500000,0.058333,0.066667,0.031389,0.500000,0.048159,0.105263,4
1,I_1h,10,10.279592,-0.010000,25.800000,0.500000,0.058333,0.066667,0.031389,0.500000,0.048159,0.105263,4
2,I_2h,1,13.841633,-0.010000,21.028571,0.333333,0.000000,1.000000,0.333333,0.250000,0.010959,0.200000,4
2,I_2h,2,13.841633,-0.010000,21.485714,0.333333,0.000000,1.000000,0.333333,0.250000,0.008264,0.250000,4
2,I_2h,3,13.841633,-0.010000,21.485714,0.333333,0.000000,1.000000,0.333333,0.250000,0.008333,0.250000,4
2,I_2h,4,13.841633,-0.010000,21.485714,0.333333,0.000000,1.000000,0.333333,0.250000,0.008333,0.250000,4
2,I_2h,5,13.841633,-0.010000,21.485714,0.333333,0.000000,1.000000,0.333333,0.250000,0.008333,0.250000,4
2,I_2h,6,13.841633,-0.010000,21.485714,0.333333,0.000000,1.000000,0.333333,0.250000,0.008427,0.250000,4
2,I_2h,7,13.841633,-0.010000,21.485714,0.333333,0.000000,1.000000,0.333333,0.250000,0.008475,0.250000,4
2,I_2h,8,13.841633,-0.010000,21.485714,0.333333,0.000000,1.000000,0.333333,0.250000,0.008475,0.250000,4
2,I_2h,9,13.841633,-0.010000,21.485714,0.333333,0.000000,1.000000,0.333333,0.250000,0.008499,0.250000,4
2,I_2h,10,13.841633,-0.010000,21.485714,0.333333,0.000000,1.000000,0.333333,0.250000,0.008499,0.250000,4
3,I_3h,1,6.029932,-0.166316,10.193878,1.000000,0.113445,0.068966,0.061142,0.750000,0.084932,0.088235,4
3,I_3h,2,6.029932,-0.114211,9.918367,1.000000,0.118143,0.066667,0.058790,0.750000,0.085399,0.088235,4
3,I_3h,3,6.029932,-0.114211,10.193878,1.000000,0.127119,0.062500,0.054555,0.750000,0.091667,0.083333,4
3,I_3h,4,6.029932,-0.114211,10.193878,1.000000,0.139831,0.057143,0.049153,0.750000,0.100000,0.076923,4
