time_step,time_step_col,upper_raw,lower_raw,upper_tol,lower_tol,POD_upper_raw,FAR_upper_raw,PPV_upper_raw,POD_lower_raw,FAR_lower_raw,PPV_lower_raw,POD_upper_tol,FAR_upper_tol,PPV_upper_tol,POD_lower_tol,FAR_lower_tol,PPV_lower_tol,best_antecedent_days,a,b,c,POD_api,FAR_api,PPV_api
1/6,I_15min,166.400000,4.800000,101.680000,12.320000,0.000000,0.000233,0.000000,1.000000,0.965276,0.030204,0.031008,0.010021,0.085106,0.945736,0.644605,0.042244,8,25.077551,-0.374737,39.200563,0.496063,0.150675,0.091570
1/2,I_30min,133.600000,4.400000,81.680000,9.760000,0.000000,0.000233,0.000000,1.000000,0.943836,0.030869,0.046512,0.010021,0.122449,0.945736,0.646003,0.042156,1,39.432653,-0.531053,29.876073,0.333333,0.071362,0.123209
1,I_1h,104.200000,3.000000,58.620000,6.200000,0.000000,0.000233,0.000000,1.000000,0.965975,0.030182,0.062016,0.010021,0.156863,0.961240,0.707993,0.039216,1,4.035918,-0.166316,21.117523,0.488372,0.126632,0.103960
2,I_2h,86.600000,2.300000,36.520000,3.840000,0.000000,0.000233,0.000000,1.000000,0.955255,0.030511,0.085271,0.010021,0.203704,0.945736,0.769984,0.035610,9,4.831224,-0.062105,10.442988,0.614173,0.173997,0.097744
3,I_3h,66.533333,1.800000,27.340000,3.093333,0.000000,0.000233,0.000000,1.000000,0.963179,0.030267,0.069767,0.010021,0.173077,0.945736,0.770683,0.035579,1,3.639320,-0.062105,8.299657,0.527132,0.129431,0.109149
6,I_6h,35.066667,1.200000,16.203333,1.806667,0.000000,0.000233,0.000000,1.000000,0.965276,0.030204,0.069767,0.010021,0.173077,0.945736,0.790259,0.034728,10,2.105578,-0.166316,6.528259,0.488189,0.105174,0.124748
8,I_8h,27.700000,1.150000,13.027500,1.410000,0.000000,0.000233,0.000000,1.000000,0.930319,0.031303,0.062016,0.010021,0.156863,0.945736,0.802843,0.034202,8,2.526122,-0.374737,4.729719,0.511811,0.120058,0.115453
10,I_10h,22.240000,0.920000,10.870000,1.156000,0.000000,0.000233,0.000000,1.000000,0.947565,0.030751,0.062016,0.010021,0.156863,0.945736,0.812631,0.033804,10,2.684694,-0.062105,3.340787,0.527559,0.129352,0.111296
12,I_12h,20.483333,0.766667,9.383333,0.970000,0.000000,0.000233,0.000000,1.000000,0.963412,0.030260,0.054264,0.010254,0.137255,0.945736,0.822885,0.033397,10,2.312245,-0.062105,2.776169,0.527559,0.134429,0.107544
24,I_24h,12.650000,0.416667,5.306667,0.515000,0.000000,0.000246,0.000000,1.000000,0.999018,0.030729,0.054264,0.010066,0.145833,0.945736,0.849251,0.034069,10,1.067347,-0.114211,1.655328,0.511811,0.143799,0.102848
