id_estacao,time_step,time_step_col,upper_raw,lower_raw,upper_tol,lower_tol,POD_upper_raw,FAR_upper_raw,PPV_upper_raw,POD_lower_raw,FAR_lower_raw,PPV_lower_raw,POD_upper_tol,FAR_upper_tol,PPV_upper_tol,POD_lower_tol,FAR_lower_tol,PPV_lower_tol,best_antecedent_days,a,b,c,POD_api,FAR_api,PPV_api
1,1/6,I_15min,,,,,,,,,,,,,,,,,0,,,,,,
1,1/2,I_30min,,,,,,,,,,,,,,,,,0,,,,,,
1,1,I_1h,,,,,,,,,,,,,,,,,0,,,,,,
1,2,I_2h,,,,,,,,,,,,,,,,,0,,,,,,
1,3,I_3h,,,,,,,,,,,,,,,,,0,,,,,,
1,6,I_6h,,,,,,,,,,,,,,,,,0,,,,,,
1,8,I_8h,,,,,,,,,,,,,,,,,0,,,,,,
1,10,I_10h,,,,,,,,,,,,,,,,,0,,,,,,
1,12,I_12h,,,,,,,,,,,,,,,,,0,,,,,,
1,24,I_24h,,,,,,,,,,,,,,,,,0,,,,,,
2,1/6,I_15min,,,,,,,,,,,,,,,,,0,,,,,,
2,1/2,I_30min,,,,,,,,,,,,,,,,,0,,,,,,
2,1,I_1h,,,,,,,,,,,,,,,,,0,,,,,,
2,2,I_2h,,,,,,,,,,,,,,,,,0,,,,,,
2,3,I_3h,,,,,,,,,,,,,,,,,0,,,,,,
2,6,I_6h,,,,,,,,,,,,,,,,,0,,,,,,
2,8,I_8h,,,,,,,,,,,,,,,,,0,,,,,,
2,10,I_10h,,,,,,,,,,,,,,,,,0,,,,,,
2,12,I_12h,,,,,,,,,,,,,,,,,0,,,,,,
2,24,I_24h,,,,,,,,,,,,,,,,,0,,,,,,
3,1/6,I_15min,,,,,,,,,,,,,,,,,0,,,,,,
3,1/2,I_30min,,,,,,,,,,,,,,,,,0,,,,,,
3,1,I_1h,,,,,,,,,,,,,,,,,0,,,,,,
3,2,I_2h,,,,,,,,,,,,,,,,,0,,,,,,
3,3,I_3h,,,,,,,,,,,,,,,,,0,,,,,,
3,6,I_6h,,,,,,,,,,,,,,,,,0,,,,,,
3,8,I_8h,,,,,,,,,,,,,,,,,0,,,,,,
3,10,I_10h,,,,,,,,,,,,,,,,,0,,,,,,
3,12,I_12h,,,,,,,,,,,,,,,,,0,,,,,,
3,24,I_24h,,,,,,,,,,,,,,,,,0,,,,,,
4,1/6,I_15min,131.200000,15.200000,94.176000,15.800000,0.000000,0.002740,0.000000,1.000000,0.556164,0.019324,0.000000,0.010959,0.000000,0.750000,0.547945,0.014778,1,44.316735,-0.010000,51.461224,0.250000,0.010959,0.200000
4,1/2,I_30min,113.200000,8.400000,75.488000,9.960000,0.000000,0.002740,0.000000,1.000000,0.682192,0.015810,0.000000,0.010959,0.000000,0.750000,0.613699,0.013216,1,31.611429,-0.010000,43.600000,0.250000,0.010959,0.200000
4,1,I_1h,86.400000,4.400000,54.880000,6.050000,0.000000,0.002740,0.000000,1.000000,0.841096,0.012862,0.250000,0.010959,0.200000,0.750000,0.690411,0.011765,1,10.279592,-0.010000,25.273469,0.500000,0.035616,0.133333
4,2,I_2h,48.900000,3.300000,35.412000,4.425000,0.000000,0.002740,0.000000,1.000000,0.838356,0.012903,0.000000,0.010959,0.000000,0.750000,0.665753,0.012195,1,13.841633,-0.010000,21.028571,0.250000,0.010959,0.200000
4,3,I_3h,34.800000,2.266667,25.024000,3.476667,0.000000,0.002740,0.000000,1.000000,0.898630,0.012048,0.250000,0.010959,0.200000,0.750000,0.663014,0.012245,1,6.029932,-0.166316,10.193878,0.750000,0.084932,0.088235
4,6,I_6h,19.666667,1.200000,16.346667,2.190000,0.000000,0.002740,0.000000,1.000000,0.961644,0.011268,0.000000,0.010959,0.000000,0.750000,0.627397,0.012931,1,6.464082,-0.010000,11.244444,0.250000,0.010959,0.200000
4,8,I_8h,16.550000,1.200000,12.509000,2.058750,0.000000,0.002740,0.000000,1.000000,0.920548,0.011765,0.250000,0.010959,0.200000,0.750000,0.534247,0.015152,2,23.400000,-0.114211,6.160459,0.500000,0.022039,0.200000
4,10,I_10h,15.400000,1.180000,10.027200,1.843000,0.000000,0.002740,0.000000,1.000000,0.802740,0.013468,0.250000,0.010959,0.200000,0.750000,0.493151,0.016393,2,2.419184,-0.010000,3.751633,0.750000,0.063361,0.115385
