time_step,time_step_col,antecedent_days,k,a,b,c,POD,FAR,PPV,score,full_POD,full_FAR,full_PPV,shi_cd,shi_nm
1/6,I_15min,1,0.600000,29.732245,-0.166316,18.726531,0.466667,0.207547,0.137255,0.050758,0.437500,0.168459,0.129630,8,Micro bacia do Canal dos Bancários
1/6,I_15min,2,0.600000,29.732245,-0.166316,19.934694,0.466667,0.221698,0.129630,0.047082,0.437500,0.179211,0.122807,8,Micro bacia do Canal dos Bancários
1/6,I_15min,3,0.600000,105.469388,-0.791579,18.122449,0.600000,0.235849,0.152542,0.069939,0.562500,0.189964,0.145161,8,Micro bacia do Canal dos Bancários
1/6,I_15min,4,0.600000,94.649796,-0.739474,18.726531,0.600000,0.268868,0.136364,0.059820,0.562500,0.215054,0.130435,8,Micro bacia do Canal dos Bancários
1/6,I_15min,5,0.600000,152.354286,-0.687368,18.122449,0.600000,0.254717,0.142857,0.063881,0.562500,0.204301,0.136364,8,Micro bacia do Canal dos Bancários
1/6,I_15min,6,0.600000,152.354286,-0.687368,18.122449,0.600000,0.268868,0.136364,0.059820,0.562500,0.215054,0.130435,8,Micro bacia do Canal dos Bancários
1/6,I_15min,7,0.600000,65.797551,-0.478947,16.914286,0.666667,0.316038,0.129870,0.059218,0.625000,0.250896,0.125000,8,Micro bacia do Canal dos Bancários
1/6,I_15min,8,0.600000,127.108571,-0.583158,18.122449,0.666667,0.273585,0.147059,0.071217,0.625000,0.218638,0.140845,8,Micro bacia do Canal dos Bancários
1/6,I_15min,9,0.600000,127.108571,-0.583158,18.122449,0.666667,0.273585,0.147059,0.071217,0.625000,0.218638,0.140845,8,Micro bacia do Canal dos Bancários
1/6,I_15min,10,0.600000,127.108571,-0.583158,18.122449,0.666667,0.273585,0.147059,0.071217,0.625000,0.218638,0.140845,8,Micro bacia do Canal dos Bancários
1/6,I_15min,1,0.700000,33.338776,-0.895789,17.518367,0.600000,0.311321,0.120000,0.049585,0.562500,0.247312,0.115385,8,Micro bacia do Canal dos Bancários
1/6,I_15min,2,0.700000,33.338776,-1.000000,16.914286,0.666667,0.367925,0.113636,0.047885,0.625000,0.290323,0.109890,8,Micro bacia do Canal dos Bancários
