time_step,time_step_col,antecedent_days,k,a,b,c,POD,FAR,PPV,score,full_POD,full_FAR,full_PPV,shi_cd,shi_nm,season
1/6,I_15min,1,0.600000,166.844082,-0.426842,1.387755,0.500000,0.227273,0.250000,0.096591,0.454545,0.163265,0.238095,8,Micro bacia do Canal dos Bancários,Verao
1/6,I_15min,2,0.600000,70.040816,-0.218421,4.857143,0.600000,0.303030,0.230769,0.096503,0.545455,0.214286,0.222222,8,Micro bacia do Canal dos Bancários,Verao
1/6,I_15min,3,0.600000,102.308571,-0.791579,18.734694,0.900000,0.439394,0.236842,0.119498,0.818182,0.306122,0.230769,8,Micro bacia do Canal dos Bancários,Verao
1/6,I_15min,4,0.600000,98.723265,-0.739474,18.734694,0.900000,0.484848,0.219512,0.101774,0.818182,0.336735,0.214286,8,Micro bacia do Canal dos Bancários,Verao
1/6,I_15min,5,0.600000,87.967347,-0.322632,10.408163,0.800000,0.424242,0.222222,0.102357,0.727273,0.295918,0.216216,8,Micro bacia do Canal dos Bancários,Verao
1/6,I_15min,6,0.600000,152.502857,-0.687368,18.040816,0.900000,0.515152,0.209302,0.091332,0.818182,0.357143,0.204545,8,Micro bacia do Canal dos Bancários,Verao
1/6,I_15min,7,0.600000,87.967347,-0.322632,11.795918,0.800000,0.469697,0.205128,0.087024,0.727273,0.326531,0.200000,8,Micro bacia do Canal dos Bancários,Verao
1/6,I_15min,8,0.600000,87.967347,-0.374737,15.265306,1.000000,0.484848,0.238095,0.122655,0.909091,0.336735,0.232558,8,Micro bacia do Canal dos Bancários,Verao
1/6,I_15min,9,0.600000,84.382041,-0.322632,12.489796,1.000000,0.515152,0.227273,0.110193,0.909091,0.357143,0.222222,8,Micro bacia do Canal dos Bancários,Verao
1/6,I_15min,10,0.600000,77.211429,-0.218421,6.244898,1.000000,0.500000,0.232558,0.116279,0.909091,0.346939,0.227273,8,Micro bacia do Canal dos Bancários,Verao
