time_step,time_step_col,antecedent_days,a,b,c,POD,FAR,PPV,score,full_POD,full_FAR,full_PPV,shi_cd,shi_nm,season
1/6,I_15min,1,174.014694,-0.322632,2.775510,0.500000,0.227273,0.250000,0.096591,0.454545,0.163265,0.238095,8,Micro bacia do Canal dos Bancários,Verao
1/6,I_15min,2,70.040816,-0.270526,15.959184,0.600000,0.303030,0.230769,0.096503,0.545455,0.214286,0.222222,8,Micro bacia do Canal dos Bancários,Verao
1/6,I_15min,3,98.723265,-0.166316,4.163265,0.900000,0.378788,0.264706,0.147995,0.818182,0.265306,0.257143,8,Micro bacia do Canal dos Bancários,Verao
1/6,I_15min,4,98.723265,-0.166316,4.163265,0.900000,0.454545,0.230769,0.113287,0.818182,0.316327,0.225000,8,Micro bacia do Canal dos Bancários,Verao
1/6,I_15min,5,44.943673,-0.114211,18.040816,0.900000,0.484848,0.219512,0.101774,0.818182,0.336735,0.214286,8,Micro bacia do Canal dos Bancários,Verao
1/6,I_15min,6,48.528980,-0.062105,9.714286,0.900000,0.492308,0.219512,0.100300,0.818182,0.340206,0.214286,8,Micro bacia do Canal dos Bancários,Verao
1/6,I_15min,7,73.626122,-0.218421,27.061224,0.700000,0.343750,0.241379,0.110884,0.636364,0.239583,0.233333,8,Micro bacia do Canal dos Bancários,Verao
1/6,I_15min,8,77.211429,-0.114211,14.571429,0.900000,0.500000,0.219512,0.098780,0.818182,0.343750,0.214286,8,Micro bacia do Canal dos Bancários,Verao
1/6,I_15min,9,95.137959,-0.062105,1.387755,0.900000,0.468750,0.230769,0.110337,0.818182,0.322917,0.225000,8,Micro bacia do Canal dos Bancários,Verao
1/6,I_15min,10,109.479184,-0.062105,4.163265,0.800000,0.406250,0.235294,0.111765,0.727273,0.281250,0.228571,8,Micro bacia do Canal dos Bancários,Verao
1/2,I_30min,1,97.065306,-0.478947,20.365714,0.400000,0.134328,0.307692,0.106544,0.363636,0.102041,0.285714,8,Micro bacia do Canal dos Bancários,Verao
1/2,I_30min,2,63.357551,-0.374737,19.234286,0.500000,0.208955,0.263158,0.104085,0.454545,0.153061,0.250000,8,Micro bacia do Canal dos Bancários,Verao
1/2,I_30min,3,66.166531,-0.374737,19.234286,0.700000,0.238806,0.304348,0.162167,0.636364,0.173469,0.291667,8,Micro bacia do Canal dos Bancários,Verao
1/2,I_30min,4,63.357551,-0.322632,17.537143,0.800000,0.358209,0.250000,0.128358,0.727273,0.255102,0.242424,8,Micro bacia do Canal dos Bancários,Verao
1/2,I_30min,5,74.593469,-0.218421,17.537143,0.800000,0.343284,0.258065,0.135580,0.727273,0.244898,0.250000,8,Micro bacia do Canal dos Bancários,Verao
1/2,I_30min,6,35.267755,-0.166316,17.537143,0.900000,0.439394,0.236842,0.119498,0.818182,0.309278,0.230769,8,Micro bacia do Canal dos Bancários,Verao
1/2,I_30min,7,46.503673,-0.166316,17.537143,0.900000,0.415385,0.250000,0.131538,0.818182,0.291667,0.243243,8,Micro bacia do Canal dos Bancários,Verao
1/2,I_30min,8,88.638367,-0.218421,17.537143,0.900000,0.415385,0.250000,0.131538,0.818182,0.291667,0.243243,8,Micro bacia do Canal dos Bancários,Verao
1/2,I_30min,9,74.593469,-0.166316,17.537143,0.900000,0.446154,0.236842,0.118057,0.818182,0.312500,0.230769,8,Micro bacia do Canal dos Bancários,Verao
1/2,I_30min,10,74.593469,-0.166316,17.537143,0.900000,0.461538,0.230769,0.111834,0.818182,0.322917,0.225000,8,Micro bacia do Canal dos Bancários,Verao
1,I_1h,1,41.848980,-0.218421,10.336327,0.400000,0.140625,0.307692,0.105769,0.363636,0.102041,0.285714,8,Micro bacia do Canal dos Bancários,Verao
1,I_1h,2,35.040816,-0.218421,11.528980,0.500000,0.218750,0.263158,0.102796,0.454545,0.153061,0.250000,8,Micro bacia do Canal dos Bancários,Verao
1,I_1h,3,62.273469,-0.218421,2.782857,0.800000,0.406250,0.235294,0.111765,0.727273,0.275510,0.228571,8,Micro bacia do Canal dos Bancários,Verao
1,I_1h,4,60.004082,-0.218421,3.975510,0.800000,0.484375,0.205128,0.084615,0.727273,0.326531,0.200000,8,Micro bacia do Canal dos Bancários,Verao
