shi_cd,shi_nm,time_step,time_step_col,upper_raw,lower_raw,upper_tol,lower_tol,POD_upper_raw,FAR_upper_raw,PPV_upper_raw,POD_lower_raw,FAR_lower_raw,PPV_lower_raw,POD_upper_tol,FAR_upper_tol,PPV_upper_tol,POD_lower_tol,FAR_lower_tol,PPV_lower_tol,best_antecedent_days,best_k,a,b,c,POD_api,FAR_api,PPV_api
2,Ilha de Paquetá,1/6,I_15min,,,,,,,,,,,,,,,,,0,,,,,,,
2,Ilha de Paquetá,1/2,I_30min,,,,,,,,,,,,,,,,,0,,,,,,,
2,Ilha de Paquetá,1,I_1h,,,,,,,,,,,,,,,,,0,,,,,,,
2,Ilha de Paquetá,2,I_2h,,,,,,,,,,,,,,,,,0,,,,,,,
2,Ilha de Paquetá,3,I_3h,,,,,,,,,,,,,,,,,0,,,,,,,
2,Ilha de Paquetá,6,I_6h,,,,,,,,,,,,,,,,,0,,,,,,,
2,Ilha de Paquetá,8,I_8h,,,,,,,,,,,,,,,,,0,,,,,,,
2,Ilha de Paquetá,10,I_10h,,,,,,,,,,,,,,,,,0,,,,,,,
2,Ilha de Paquetá,12,I_12h,,,,,,,,,,,,,,,,,0,,,,,,,
2,Ilha de Paquetá,24,I_24h,,,,,,,,,,,,,,,,,0,,,,,,,
5,Micro bacia da Praia Grande,1/6,I_15min,,,,,,,,,,,,,,,,,0,,,,,,,
5,Micro bacia da Praia Grande,1/2,I_30min,,,,,,,,,,,,,,,,,0,,,,,,,
5,Micro bacia da Praia Grande,1,I_1h,,,,,,,,,,,,,,,,,0,,,,,,,
5,Micro bacia da Praia Grande,2,I_2h,,,,,,,,,,,,,,,,,0,,,,,,,
5,Micro bacia da Praia Grande,3,I_3h,,,,,,,,,,,,,,,,,0,,,,,,,
5,Micro bacia da Praia Grande,6,I_6h,,,,,,,,,,,,,,,,,0,,,,,,,
5,Micro bacia da Praia Grande,8,I_8h,,,,,,,,,,,,,,,,,0,,,,,,,
5,Micro bacia da Praia Grande,10,I_10h,,,,,,,,,,,,,,,,,0,,,,,,,
5,Micro bacia da Praia Grande,12,I_12h,,,,,,,,,,,,,,,,,0,,,,,,,
5,Micro bacia da Praia Grande,24,I_24h,,,,,,,,,,,,,,,,,0,,,,,,,
6,Micro bacia do Saco do Pinhão,1/6,I_15min,,,,,,,,,,,,,,,,,0,,,,,,,
6,Micro bacia do Saco do Pinhão,1/2,I_30min,,,,,,,,,,,,,,,,,0,,,,,,,
6,Micro bacia do Saco do Pinhão,1,I_1h,,,,,,,,,,,,,,,,,0,,,,,,,
6,Micro bacia do Saco do Pinhão,2,I_2h,,,,,,,,,,,,,,,,,0,,,,,,,
6,Micro bacia do Saco do Pinhão,3,I_3h,,,,,,,,,,,,,,,,,0,,,,,,,
6,Micro bacia do Saco do Pinhão,6,I_6h,,,,,,,,,,,,,,,,,0,,,,,,,
6,Micro bacia do Saco do Pinhão,8,I_8h,,,,,,,,,,,,,,,,,0,,,,,,,
6,Micro bacia do Saco do Pinhão,10,I_10h,,,,,,,,,,,,,,,,,0,,,,,,,
6,Micro bacia do Saco do Pinhão,12,I_12h,,,,,,,,,,,,,,,,,0,,,,,,,
6,Micro bacia do Saco do Pinhão,24,I_24h,,,,,,,,,,,,,,,,,0,,,,,,,
7,Micro bacia do Saco do Valente,1/6,I_15min,,,,,,,,,,,,,,,,,0,,,,,,,
7,Micro bacia do Saco do Valente,1/2,I_30min,,,,,,,,,,,,,,,,,0,,,,,,,
7,Micro bacia do Saco do Valente,1,I_1h,,,,,,,,,,,,,,,,,0,,,,,,,
7,Micro bacia do Saco do Valente,2,I_2h,,,,,,,,,,,,,,,,,0,,,,,,,
7,Micro bacia do Saco do Valente,3,I_3h,,,,,,,,,,,,,,,,,0,,,,,,,
7,Micro bacia do Saco do Valente,6,I_6h,,,,,,,,,,,,,,,,,0,,,,,,,
7,Micro bacia do Saco do Valente,8,I_8h,,,,,,,,,,,,,,,,,0,,,,,,,
7,Micro bacia do Saco do Valente,10,I_10h,,,,,,,,,,,,,,,,,0,,,,,,,
7,Micro bacia do Saco do Valente,12,I_12h,,,,,,,,,,,,,,,,,0,,,,,,,
7,Micro bacia do Saco do Valente,24,I_24h,,,,,,,,,,,,,,,,,0,,,,,,,
8,Micro bacia do Canal dos Bancários,1/6,I_15min,144.800000,7.200000,80.704000,8.400000,0.000000,0.003584,0.000000,1.000000,0.849462,0.063241,0.000000,0.010753,0.000000,0.937500,0.770609,0.065217,10,0.950000,170.386939,-0.062105,11.477551,0.562500,0.172043,0.157895
8,Micro bacia do Canal dos Bancários,1/2,I_30min,132.000000,6.800000,65.816000,7.100000,0.000000,0.003584,0.000000,1.000000,0.756272,0.070485,0.000000,0.010753,0.000000,0.937500,0.745520,0.067265,10,0.950000,125.069388,-0.062105,10.308571,0.562500,0.161290,0.166667
8,Micro bacia do Canal dos Bancários,1,I_1h,109.600000,4.600000,49.444000,5.500000,0.000000,0.003584,0.000000,1.000000,0.777778,0.068670,0.000000,0.010753,0.000000,0.937500,0.709677,0.070423,3,0.950000,112.200000,-0.374737,9.253878,0.625000,0.186380,0.161290
8,Micro bacia do Canal dos Bancários,2,I_2h,60.500000,3.200000,30.228000,4.175000,0.000000,0.003584,0.000000,1.000000,0.817204,0.065574,0.000000,0.010753,0.000000,0.937500,0.713262,0.070093,1,0.600000,14.197959,-0.010000,2.355102,0.375000,0.082437,0.206897
8,Micro bacia do Canal dos Bancários,3,I_3h,40.400000,2.466667,23.105333,2.916667,0.000000,0.003584,0.000000,1.000000,0.831541,0.064516,0.000000,0.010753,0.000000,0.937500,0.770609,0.065217,9,0.750000,11.454422,-0.010000,2.028390,0.375000,0.078853,0.214286
8,Micro bacia do Canal dos Bancários,6,I_6h,26.066667,1.700000,14.863333,1.900000,0.000000,0.003584,0.000000,1.000000,0.806452,0.066390,0.000000,0.010753,0.000000,0.937500,0.695341,0.071770,3,0.750000,7.838095,-0.010000,1.427483,0.312500,0.043011,0.294118
8,Micro bacia do Canal dos Bancários,8,I_8h,19.725000,1.275000,12.583000,1.593750,0.000000,0.003584,0.000000,1.000000,0.849462,0.063241,0.000000,0.010753,0.000000,0.937500,0.659498,0.075377,3,0.750000,4.699286,-0.947895,2.893333,0.687500,0.186380,0.174603
8,Micro bacia do Canal dos Bancários,10,I_10h,15.780000,1.020000,11.796800,1.275000,0.000000,0.003584,0.000000,1.000000,0.867384,0.062016,0.000000,0.010753,0.000000,0.937500,0.673835,0.073892,1,0.600000,3.241796,-0.010000,3.620599,0.187500,0.021505,0.333333
8,Micro bacia do Canal dos Bancários,12,I_12h,13.150000,0.850000,9.960667,1.062500,0.000000,0.003584,0.000000,1.000000,0.903226,0.059701,0.000000,0.010753,0.000000,0.937500,0.702509,0.071090,1,0.600000,3.132857,-0.010000,2.461633,0.250000,0.028674,0.333333
8,Micro bacia do Canal dos Bancários,24,I_24h,6.575000,0.550000,5.222667,0.562500,0.000000,0.003745,0.000000,1.000000,0.760300,0.073059,0.000000,0.011236,0.000000,0.937500,0.741573,0.070423,9,0.950000,2.064286,-0.010000,1.751043,0.250000,0.026217,0.363636
9,Micro bacia do Galeão,1/6,I_15min,149.022313,12.000000,76.253928,12.572663,0.000000,0.002611,0.000000,1.000000,0.650131,0.031128,0.000000,0.010444,0.000000,0.875000,0.631854,0.028112,7,0.800000,154.735604,-0.166316,23.554339,0.625000,0.104439,0.111111
9,Micro bacia do Galeão,1/2,I_30min,132.234573,9.747337,67.869149,10.545266,0.000000,0.002611,0.000000,1.000000,0.616188,0.032787,0.000000,0.010444,0.000000,0.875000,0.577023,0.030702,5,0.950000,58.447027,-0.062105,13.535294,0.625000,0.130548,0.090909
9,Micro bacia do Galeão,1,I_1h,107.684321,7.473668,44.617792,8.084216,0.000000,0.002611,0.000000,1.000000,0.566580,0.035556,0.000000,0.010444,0.000000,0.875000,0.537859,0.032864,5,0.950000,41.650678,-0.062105,7.344203,0.625000,0.140992,0.084746
9,Micro bacia do Galeão,2,I_2h,59.131658,4.958643,26.593711,5.270759,0.000000,0.002611,0.000000,1.000000,0.571802,0.035242,0.000000,0.010444,0.000000,0.875000,0.524804,0.033654,5,0.950000,29.884616,-0.062105,2.838964,0.625000,0.161880,0.074627
9,Micro bacia do Galeão,3,I_3h,39.487772,4.337856,20.064685,4.401184,0.000000,0.002611,0.000000,1.000000,0.480418,0.041667,0.000000,0.010444,0.000000,0.875000,0.469974,0.037433,5,0.950000,14.175991,-0.062105,3.307185,0.875000,0.182768,0.090909
9,Micro bacia do Galeão,6,I_6h,23.186632,2.194992,12.733444,2.285253,0.000000,0.002611,0.000000,1.000000,0.597911,0.033755,0.000000,0.010444,0.000000,0.875000,0.561358,0.031532,8,0.950000,9.734819,-0.010000,5.556913,0.125000,0.010444,0.200000
9,Micro bacia do Galeão,8,I_8h,17.682260,1.646244,9.840046,1.713940,0.000000,0.002611,0.000000,1.000000,0.631854,0.032000,0.000000,0.010444,0.000000,0.875000,0.608355,0.029167,1,0.600000,4.431240,-0.010000,3.510280,0.250000,0.020888,0.200000
9,Micro bacia do Galeão,10,I_10h,14.145808,1.316995,8.151981,1.371152,0.000000,0.002611,0.000000,1.000000,0.650131,0.031128,0.000000,0.010444,0.000000,0.875000,0.624021,0.028455,1,0.600000,3.480196,-0.010000,3.255166,0.250000,0.018277,0.222222
9,Micro bacia do Galeão,12,I_12h,11.788174,1.097496,6.866166,1.142626,0.000000,0.002611,0.000000,1.000000,0.663185,0.030534,0.125000,0.010444,0.200000,0.875000,0.634465,0.028000,8,0.950000,6.272786,-0.010000,2.550539,0.250000,0.013055,0.285714
9,Micro bacia do Galeão,24,I_24h,5.894087,0.548748,4.554131,0.571313,0.000000,0.002703,0.000000,1.000000,0.735135,0.028571,0.125000,0.010811,0.200000,0.875000,0.702703,0.026217,5,0.950000,5.371486,-0.114211,1.180604,0.625000,0.086486,0.135135
10,Micro bacia da Praia da Guanabara,1/6,I_15min,144.800000,6.400000,80.608000,7.360000,0.000000,0.003546,0.000000,1.000000,0.893617,0.049057,0.000000,0.010638,0.000000,0.923077,0.804965,0.050209,8,0.600000,123.020408,-0.531053,17.632653,0.692308,0.216312,0.128571
10,Micro bacia da Praia da Guanabara,1/2,I_30min,132.000000,5.200000,65.732000,5.680000,0.000000,0.003546,0.000000,1.000000,0.882979,0.049618,0.000000,0.010638,0.000000,0.923077,0.833333,0.048583,10,0.750000,126.000000,-0.270526,17.493197,0.615385,0.163121,0.148148
10,Micro bacia da Praia da Guanabara,1,I_1h,109.600000,3.400000,49.438000,4.120000,0.000000,0.003546,0.000000,1.000000,0.936170,0.046931,0.000000,0.010638,0.000000,0.923077,0.843972,0.048000,9,0.750000,84.835102,-0.218421,15.658163,0.384615,0.067376,0.208333
10,Micro bacia da Praia da Guanabara,2,I_2h,60.500000,2.000000,29.856000,3.380000,0.000000,0.003546,0.000000,1.000000,0.975177,0.045139,0.000000,0.010638,0.000000,0.923077,0.801418,0.050420,9,0.750000,38.628980,-0.166316,11.050000,0.384615,0.060284,0.227273
