shi_cd,shi_nm,season,time_step,time_step_col,upper_raw,lower_raw,upper_tol,lower_tol,POD_upper_raw,FAR_upper_raw,PPV_upper_raw,POD_lower_raw,FAR_lower_raw,PPV_lower_raw,POD_upper_tol,FAR_upper_tol,PPV_upper_tol,POD_lower_tol,FAR_lower_tol,PPV_lower_tol,best_antecedent_days,a,b,c,POD_api,FAR_api,PPV_api,n_ea,n_esa
2,Ilha de Paquetá,Verao,1/6,I_15min,,,,,,,,,,,,,,,,,0,,,,,,,0,109
2,Ilha de Paquetá,Verao,1/2,I_30min,,,,,,,,,,,,,,,,,0,,,,,,,0,109
2,Ilha de Paquetá,Verao,1,I_1h,,,,,,,,,,,,,,,,,0,,,,,,,0,109
2,Ilha de Paquetá,Verao,2,I_2h,,,,,,,,,,,,,,,,,0,,,,,,,0,109
2,Ilha de Paquetá,Verao,3,I_3h,,,,,,,,,,,,,,,,,0,,,,,,,0,109
2,Ilha de Paquetá,Verao,6,I_6h,,,,,,,,,,,,,,,,,0,,,,,,,0,109
2,Ilha de Paquetá,Verao,8,I_8h,,,,,,,,,,,,,,,,,0,,,,,,,0,109
2,Ilha de Paquetá,Verao,10,I_10h,,,,,,,,,,,,,,,,,0,,,,,,,0,109
2,Ilha de Paquetá,Verao,12,I_12h,,,,,,,,,,,,,,,,,0,,,,,,,0,109
2,Ilha de Paquetá,Verao,24,I_24h,,,,,,,,,,,,,,,,,0,,,,,,,0,104
2,Ilha de Paquetá,Outono,1/6,I_15min,,,,,,,,,,,,,,,,,0,,,,,,,1,80
2,Ilha de Paquetá,Outono,1/2,I_30min,,,,,,,,,,,,,,,,,0,,,,,,,1,80
2,Ilha de Paquetá,Outono,1,I_1h,,,,,,,,,,,,,,,,,0,,,,,,,1,80
2,Ilha de Paquetá,Outono,2,I_2h,,,,,,,,,,,,,,,,,0,,,,,,,1,80
2,Ilha de Paquetá,Outono,3,I_3h,,,,,,,,,,,,,,,,,0,,,,,,,1,80
2,Ilha de Paquetá,Outono,6,I_6h,,,,,,,,,,,,,,,,,0,,,,,,,1,80
2,Ilha de Paquetá,Outono,8,I_8h,,,,,,,,,,,,,,,,,0,,,,,,,1,80
2,Ilha de Paquetá,Outono,10,I_10h,,,,,,,,,,,,,,,,,0,,,,,,,1,80
2,Ilha de Paquetá,Outono,12,I_12h,,,,,,,,,,,,,,,,,0,,,,,,,1,80
2,Ilha de Paquetá,Outono,24,I_24h,,,,,,,,,,,,,,,,,0,,,,,,,1,79
2,Ilha de Paquetá,Inverno,1/6,I_15min,,,,,,,,,,,,,,,,,0,,,,,,,0,38
2,Ilha de Paquetá,Inverno,1/2,I_30min,,,,,,,,,,,,,,,,,0,,,,,,,0,38
2,Ilha de Paquetá,Inverno,1,I_1h,,,,,,,,,,,,,,,,,0,,,,,,,0,38
2,Ilha de Paquetá,Inverno,2,I_2h,,,,,,,,,,,,,,,,,0,,,,,,,0,38
2,Ilha de Paquetá,Inverno,3,I_3h,,,,,,,,,,,,,,,,,0,,,,,,,0,38
2,Ilha de Paquetá,Inverno,6,I_6h,,,,,,,,,,,,,,,,,0,,,,,,,0,38
2,Ilha de Paquetá,Inverno,8,I_8h,,,,,,,,,,,,,,,,,0,,,,,,,0,38
2,Ilha de Paquetá,Inverno,10,I_10h,,,,,,,,,,,,,,,,,0,,,,,,,0,38
2,Ilha de Paquetá,Inverno,12,I_12h,,,,,,,,,,,,,,,,,0,,,,,,,0,38
