id_evento_chuva,id_estacao,start_time,end_time,classificacao
22_1429238700,22,2015-04-17 02:45:00,2015-04-17 03:00:00,ESA
22_1429660800,22,2015-04-22 00:00:00,2015-04-22 00:45:00,ESA
22_1429717500,22,2015-04-22 15:45:00,2015-04-22 16:15:00,ESA
22_1430298900,22,2015-04-29 09:15:00,2015-04-29 09:30:00,ESA
22_1430394300,22,2015-04-30 11:45:00,2015-04-30 12:00:00,ESA
22_1430769600,22,2015-05-04 20:00:00,2015-05-04 20:45:00,ESA
22_1430798400,22,2015-05-05 04:00:00,2015-05-05 05:00:00,ESA
22_1431056700,22,2015-05-08 03:45:00,2015-05-08 04:00:00,ESA
22_1431394200,22,2015-05-12 01:30:00,2015-05-12 02:00:00,ESA
22_1431477000,22,2015-05-13 00:30:00,2015-05-13 00:45:00,ESA
22_1431507600,22,2015-05-13 09:00:00,2015-05-13 09:15:00,ESA
22_1431518400,22,2015-05-13 12:00:00,2015-05-13 12:30:00,ESA
22_1434110400,22,2015-06-12 12:00:00,2015-06-12 12:15:00,ESA
22_1434391200,22,2015-06-15 18:00:00,2015-06-15 18:15:00,ESA
22_1434675600,22,2015-06-19 01:00:00,2015-06-19 01:30:00,ESA
22_1434709800,22,2015-06-19 10:30:00,2015-06-19 10:45:00,ESA
22_1434721500,22,2015-06-19 13:45:00,2015-06-19 14:00:00,ESA
22_1434731400,22,2015-06-19 16:30:00,2015-06-19 18:45:00,ESA
22_1435122000,22,2015-06-24 05:00:00,2015-06-24 06:00:00,ESA
22_1436052600,22,2015-07-04 23:30:00,2015-07-05 00:00:00,ESA
22_1437505200,22,2015-07-21 19:00:00,2015-07-21 19:15:00,ESA
22_1437554700,22,2015-07-22 08:45:00,2015-07-22 09:00:00,ESA
22_1440690300,22,2015-08-27 15:45:00,2015-08-27 16:00:00,ESA
22_1441748700,22,2015-09-08 21:45:00,2015-09-08 23:30:00,ESA
22_1441766700,22,2015-09-09 02:45:00,2015-09-09 03:00:00,ESA
22_1441947600,22,2015-09-11 05:00:00,2015-09-11 07:15:00,ESA
22_1442009700,22,2015-09-11 22:15:00,2015-09-11 22:45:00,ESA
22_1442016900,22,2015-09-12 00:15:00,2015-09-12 00:30:00,ESA
22_1442115000,22,2015-09-13 03:30:00,2015-09-13 04:45:00,ESA
22_1443384900,22,2015-09-27 20:15:00,2015-09-27 21:30:00,ESA
22_1445526900,22,2015-10-22 15:15:00,2015-10-22 15:45:00,ESA
22_1445731200,22,2015-10-25 00:00:00,2015-10-25 00:15:00,ESA
22_1446068700,22,2015-10-28 21:45:00,2015-10-28 22:00:00,ESA
22_1446491700,22,2015-11-02 19:15:00,2015-11-02 20:30:00,ESA
22_1446501600,22,2015-11-02 22:00:00,2015-11-02 22:15:00,ESA
22_1446509700,22,2015-11-03 00:15:00,2015-11-03 01:00:00,ESA
22_1446688800,22,2015-11-05 02:00:00,2015-11-05 02:15:00,ESA
22_1446840900,22,2015-11-06 20:15:00,2015-11-06 20:30:00,ESA
22_1446940800,22,2015-11-08 00:00:00,2015-11-08 00:30:00,ESA
22_1448063100,22,2015-11-20 23:45:00,2015-11-21 00:00:00,ESA
22_1448095500,22,2015-11-21 08:45:00,2015-11-21 09:45:00,ESA
22_1448252100,22,2015-11-23 04:15:00,2015-11-23 04:45:00,ESA
22_1448260200,22,2015-11-23 06:30:00,2015-11-23 07:15:00,ESA
22_1448739900,22,2015-11-28 19:45:00,2015-11-28 22:00:00,ESA
22_1448850600,22,2015-11-30 02:30:00,2015-11-30 02:45:00,ESA
22_1448857800,22,2015-11-30 04:30:00,2015-11-30 05:00:00,ESA
22_1448869500,22,2015-11-30 07:45:00,2015-11-30 08:00:00,ESA
22_1448874900,22,2015-11-30 09:15:00,2015-11-30 10:45:00,ESA
22_1449442800,22,2015-12-06 23:00:00,2015-12-06 23:45:00,ESA
22_1449454500,22,2015-12-07 02:15:00,2015-12-07 03:00:00,ESA
22_1449467100,22,2015-12-07 05:45:00,2015-12-07 06:15:00,ESA
22_1449475200,22,2015-12-07 08:00:00,2015-12-07 08:15:00,ESA
22_1449501300,22,2015-12-07 15:15:00,2015-12-07 16:00:00,ESA
22_1449954900,22,2015-12-12 21:15:00,2015-12-12 22:45:00,ESA
22_1450728900,22,2015-12-21 20:15:00,2015-12-21 21:00:00,ESA
22_1451676600,22,2016-01-01 19:30:00,2016-01-01 21:15:00,ESA
22_1451752200,22,2016-01-02 16:30:00,2016-01-02 16:45:00,ESA
22_1451793600,22,2016-01-03 04:00:00,2016-01-03 04:15:00,ESA
22_1452574800,22,2016-01-12 05:00:00,2016-01-12 05:30:00,ESA
22_1452623400,22,2016-01-12 18:30:00,2016-01-12 21:45:00,ESA
22_1452708000,22,2016-01-13 18:00:00,2016-01-13 18:15:00,ESA
22_1452713400,22,2016-01-13 19:30:00,2016-01-13 19:45:00,ESA
22_1452738600,22,2016-01-14 02:30:00,2016-01-14 03:45:00,ESA
22_1452749400,22,2016-01-14 05:30:00,2016-01-14 06:15:00,ESA
22_1452874500,22,2016-01-15 16:15:00,2016-01-15 17:15:00,ESA
22_1452881700,22,2016-01-15 18:15:00,2016-01-15 22:30:00,ESA
22_1452903300,22,2016-01-16 00:15:00,2016-01-16 05:45:00,ESA
22_1453157100,22,2016-01-18 22:45:00,2016-01-18 23:00:00,ESA
22_1453199400,22,2016-01-19 10:30:00,2016-01-19 10:45:00,ESA
22_1453371300,22,2016-01-21 10:15:00,2016-01-21 10:45:00,ESA
22_1453455000,22,2016-01-22 09:30:00,2016-01-22 09:45:00,ESA
22_1453500000,22,2016-01-22 22:00:00,2016-01-22 22:15:00,ESA
22_1453514400,22,2016-01-23 02:00:00,2016-01-23 02:30:00,ESA
22_1453993200,22,2016-01-28 15:00:00,2016-01-28 15:30:00,ESA
22_1455171300,22,2016-02-11 06:15:00,2016-02-11 06:30:00,ESA
22_1455223500,22,2016-02-11 20:45:00,2016-02-11 21:30:00,ESA
22_1455557400,22,2016-02-15 17:30:00,2016-02-15 18:00:00,ESA
22_1455658200,22,2016-02-16 21:30:00,2016-02-17 00:30:00,ESA
22_1455997500,22,2016-02-20 19:45:00,2016-02-20 20:45:00,ESA
