id_evento,data_inicio,id_estacao
66955,2021-10-15 22:11:46+00:00,24
67278,2021-10-24 16:34:17+00:00,29
67280,2021-10-24 16:45:02+00:00,29
67279,2021-10-24 16:39:46+00:00,29
66613,2021-10-03 17:29:02+00:00,21
66622,2021-10-03 19:26:26+00:00,18
67113,2021-10-20 09:49:37+00:00,31
67283,2021-10-24 17:14:51+00:00,31
66616,2021-10-03 17:52:16+00:00,31
67282,2021-10-24 17:02:59+00:00,31
66618,2021-10-03 18:26:00+00:00,31
67124,2021-10-20 11:33:27+00:00,31
66608,2021-10-03 17:06:43+00:00,16
67286,2021-10-24 19:44:24+00:00,29
67287,2021-10-24 20:18:35+00:00,26
66611,2021-10-03 17:22:17+00:00,21
66619,2021-10-03 18:29:39+00:00,21
67093,2021-10-20 05:32:42+00:00,18
67276,2021-10-24 16:23:34+00:00,28
67426,2021-10-29 06:42:13+00:00,2
67273,2021-10-24 10:46:45+00:00,1
66951,2021-10-15 20:43:49+00:00,24
66617,2021-10-03 18:20:32+00:00,21
66610,2021-10-03 17:15:40+00:00,21
66623,2021-10-03 20:21:34+00:00,21
67281,2021-10-24 16:59:57+00:00,28
67418,2021-10-28 22:54:31+00:00,11
67111,2021-10-20 09:23:03+00:00,11
67047,2021-10-19 06:52:13+00:00,15
67424,2021-10-29 04:07:27+00:00,11
67483,2021-10-31 18:39:44+00:00,11
66612,2021-10-03 17:24:55+00:00,21
67486,2021-10-31 19:38:43+00:00,3
67485,2021-10-31 19:39:15+00:00,3
66615,2021-10-03 17:45:52+00:00,24
66614,2021-10-03 17:33:31+00:00,32
67491,2021-10-31 21:54:12+00:00,4
67490,2021-10-31 21:50:17+00:00,5
67488,2021-10-31 21:37:52+00:00,5
66956,2021-10-15 22:16:21+00:00,24
67277,2021-10-24 16:26:48+00:00,22
67092,2021-10-20 05:07:24+00:00,11
67412,2021-10-28 21:41:27+00:00,11
67417,2021-10-28 22:45:02+00:00,11
67419,2021-10-28 23:03:03+00:00,11
67270,2021-10-24 10:15:32+00:00,11
66798,2021-10-11 05:08:06+00:00,11
66950,2021-10-15 20:40:34+00:00,24
66953,2021-10-15 21:00:54+00:00,24
66954,2021-10-15 21:37:48+00:00,24
66949,2021-10-15 20:34:46+00:00,24
67272,2021-10-24 10:39:17+00:00,8
67268,2021-10-24 09:51:03+00:00,8
67269,2021-10-24 10:01:42+00:00,8
67103,2021-10-20 07:56:36+00:00,21
66620,2021-10-03 18:45:06+00:00,18
66621,2021-10-03 18:57:52+00:00,18
67100,2021-10-20 07:07:11+00:00,15
2447,2015-12-07 08:55:31+00:00,10
2440,2015-12-07 08:06:22+00:00,21
2452,2015-12-07 09:01:58+00:00,10
2450,2015-12-07 08:56:29+00:00,11
2449,2015-12-07 08:56:12+00:00,10
2445,2015-12-07 08:54:57+00:00,32
2441,2015-12-07 08:53:20+00:00,10
2451,2015-12-07 08:57:01+00:00,10
2448,2015-12-07 08:55:54+00:00,10
2456,2015-12-07 10:09:54+00:00,24
2454,2015-12-07 09:12:46+00:00,24
2444,2015-12-07 08:54:39+00:00,21
2442,2015-12-07 08:53:45+00:00,2
2446,2015-12-07 08:55:12+00:00,32
2443,2015-12-07 08:54:18+00:00,10
52454,2020-03-21 07:21:58+00:00,24
52471,2020-03-21 11:06:46+00:00,24
51761,2020-03-01 00:39:14+00:00,24
52427,2020-03-20 20:05:00+00:00,7
51770,2020-03-01 02:49:31+00:00,7
51759,2020-03-01 00:15:03+00:00,29
51806,2020-03-01 07:43:28+00:00,28
51758,2020-03-01 00:11:26+00:00,29
51767,2020-03-01 02:13:18+00:00,29
51832,2020-03-01 09:00:30+00:00,18
51763,2020-03-01 00:50:34+00:00,29
51814,2020-03-01 07:52:55+00:00,22
51756,2020-03-01 00:02:32+00:00,22
51827,2020-03-01 08:38:09+00:00,16
52464,2020-03-21 08:37:42+00:00,18
51784,2020-03-01 04:42:12+00:00,32
51773,2020-03-01 03:03:16+00:00,22
51782,2020-03-01 04:33:39+00:00,13
51780,2020-03-01 04:03:16+00:00,13
51836,2020-03-01 09:35:41+00:00,13
51811,2020-03-01 07:50:37+00:00,15
51820,2020-03-01 08:06:58+00:00,7
