duracao_h,intensidade_max_mm_h,id_estacao,id_evento_chuva,start_time,end_time,classificacao
0.25,4.0,22,22_1429238700,2015-04-17 02:45:00,2015-04-17 03:00:00,ESA
0.25,4.8,22,22_1429660800,2015-04-22 00:00:00,2015-04-22 00:45:00,ESA
0.5,4.8,22,22_1429660800,2015-04-22 00:00:00,2015-04-22 00:45:00,ESA
0.25,4.8,22,22_1429717500,2015-04-22 15:45:00,2015-04-22 16:15:00,ESA
0.5,4.4,22,22_1429717500,2015-04-22 15:45:00,2015-04-22 16:15:00,ESA
0.25,4.0,22,22_1430298900,2015-04-29 09:15:00,2015-04-29 09:30:00,ESA
0.25,4.0,22,22_1430394300,2015-04-30 11:45:00,2015-04-30 12:00:00,ESA
0.25,11.2,22,22_1430769600,2015-05-04 20:00:00,2015-05-04 20:45:00,ESA
0.5,8.399999999999999,22,22_1430769600,2015-05-04 20:00:00,2015-05-04 20:45:00,ESA
0.25,20.8,22,22_1430798400,2015-05-05 04:00:00,2015-05-05 05:00:00,ESA
0.5,16.4,22,22_1430798400,2015-05-05 04:00:00,2015-05-05 05:00:00,ESA
1.0,12.6,22,22_1430798400,2015-05-05 04:00:00,2015-05-05 05:00:00,ESA
0.25,10.4,22,22_1431056700,2015-05-08 03:45:00,2015-05-08 04:00:00,ESA
0.25,9.6,22,22_1431394200,2015-05-12 01:30:00,2015-05-12 02:00:00,ESA
0.5,7.6,22,22_1431394200,2015-05-12 01:30:00,2015-05-12 02:00:00,ESA
0.25,6.4,22,22_1431477000,2015-05-13 00:30:00,2015-05-13 00:45:00,ESA
0.25,6.4,22,22_1431507600,2015-05-13 09:00:00,2015-05-13 09:15:00,ESA
0.25,19.2,22,22_1431518400,2015-05-13 12:00:00,2015-05-13 12:30:00,ESA
0.5,14.399999999999999,22,22_1431518400,2015-05-13 12:00:00,2015-05-13 12:30:00,ESA
0.25,4.8,22,22_1434110400,2015-06-12 12:00:00,2015-06-12 12:15:00,ESA
0.25,4.0,22,22_1434391200,2015-06-15 18:00:00,2015-06-15 18:15:00,ESA
0.25,19.2,22,22_1434675600,2015-06-19 01:00:00,2015-06-19 01:30:00,ESA
0.5,15.6,22,22_1434675600,2015-06-19 01:00:00,2015-06-19 01:30:00,ESA
0.25,4.8,22,22_1434709800,2015-06-19 10:30:00,2015-06-19 10:45:00,ESA
0.25,7.2,22,22_1434721500,2015-06-19 13:45:00,2015-06-19 14:00:00,ESA
0.25,12.0,22,22_1434731400,2015-06-19 16:30:00,2015-06-19 18:45:00,ESA
0.5,9.2,22,22_1434731400,2015-06-19 16:30:00,2015-06-19 18:45:00,ESA
1.0,7.2,22,22_1434731400,2015-06-19 16:30:00,2015-06-19 18:45:00,ESA
2.0,5.7,22,22_1434731400,2015-06-19 16:30:00,2015-06-19 18:45:00,ESA
0.25,4.8,22,22_1435122000,2015-06-24 05:00:00,2015-06-24 06:00:00,ESA
0.5,3.2,22,22_1435122000,2015-06-24 05:00:00,2015-06-24 06:00:00,ESA
1.0,3.2,22,22_1435122000,2015-06-24 05:00:00,2015-06-24 06:00:00,ESA
0.25,4.0,22,22_1436052600,2015-07-04 23:30:00,2015-07-05 00:00:00,ESA
0.5,4.0,22,22_1436052600,2015-07-04 23:30:00,2015-07-05 00:00:00,ESA
0.25,4.8,22,22_1437505200,2015-07-21 19:00:00,2015-07-21 19:15:00,ESA
0.25,5.6,22,22_1437554700,2015-07-22 08:45:00,2015-07-22 09:00:00,ESA
0.25,4.0,22,22_1440690300,2015-08-27 15:45:00,2015-08-27 16:00:00,ESA
0.25,19.2,22,22_1441748700,2015-09-08 21:45:00,2015-09-08 23:30:00,ESA
0.5,12.399999999999999,22,22_1441748700,2015-09-08 21:45:00,2015-09-08 23:30:00,ESA
1.0,10.0,22,22_1441748700,2015-09-08 21:45:00,2015-09-08 23:30:00,ESA
0.25,4.0,22,22_1441766700,2015-09-09 02:45:00,2015-09-09 03:00:00,ESA
0.25,16.0,22,22_1441947600,2015-09-11 05:00:00,2015-09-11 07:15:00,ESA
0.5,15.6,22,22_1441947600,2015-09-11 05:00:00,2015-09-11 07:15:00,ESA
1.0,9.4,22,22_1441947600,2015-09-11 05:00:00,2015-09-11 07:15:00,ESA
2.0,6.0,22,22_1441947600,2015-09-11 05:00:00,2015-09-11 07:15:00,ESA
0.25,4.0,22,22_1442009700,2015-09-11 22:15:00,2015-09-11 22:45:00,ESA
0.5,4.0,22,22_1442009700,2015-09-11 22:15:00,2015-09-11 22:45:00,ESA
0.25,4.0,22,22_1442016900,2015-09-12 00:15:00,2015-09-12 00:30:00,ESA
0.25,4.8,22,22_1442115000,2015-09-13 03:30:00,2015-09-13 04:45:00,ESA
0.5,4.0,22,22_1442115000,2015-09-13 03:30:00,2015-09-13 04:45:00,ESA
1.0,2.6,22,22_1442115000,2015-09-13 03:30:00,2015-09-13 04:45:00,ESA
0.25,5.6,22,22_1443384900,2015-09-27 20:15:00,2015-09-27 21:30:00,ESA
0.5,3.1999999999999997,22,22_1443384900,2015-09-27 20:15:00,2015-09-27 21:30:00,ESA
1.0,1.5999999999999999,22,22_1443384900,2015-09-27 20:15:00,2015-09-27 21:30:00,ESA
0.25,5.6,22,22_1445526900,2015-10-22 15:15:00,2015-10-22 15:45:00,ESA
