id_estacao,a,b,precision,recall,f1,n_EA,n_ESA,TP,FP,FN,TN
1,,,,,,0,2048,0,0,0,0
2,,,,,,0,1846,0,0,0,0
3,11.965487,-0.099213,0.005051,1.000000,0.010050,5,2699,5,985,0,1714
4,,,,,,14,2189,0,0,0,0
5,,,,,,11,2030,0,0,0,0
6,8.451885,-0.647727,0.005865,0.500000,0.011594,4,1737,2,339,2,1398
7,9.171198,0.530448,0.049363,0.775000,0.092814,40,1787,31,597,9,1190
8,,,,,,0,1615,0,0,0,0
9,12.052386,0.525646,0.011299,0.571429,0.022161,7,1454,4,350,3,1104
10,8.211526,0.938987,0.042105,0.769231,0.079840,26,1660,20,455,6,1205
11,,,,,,52,1600,0,0,0,0
12,11.037622,0.471680,0.033755,0.727273,0.064516,22,1621,16,458,6,1163
13,9.330650,0.636376,0.059794,0.783784,0.111111,37,1558,29,456,8,1102
14,12.523749,0.468068,0.011655,1.000000,0.023041,5,1728,5,424,0,1304
15,7.821117,0.703473,0.023551,0.866667,0.045855,15,1599,13,539,2,1060
16,9.654765,0.384492,0.024249,0.700000,0.046875,30,2418,21,845,9,1573
17,5.014242,1.096040,0.001468,1.000000,0.002933,2,2304,2,1360,0,944
18,5.608842,1.310688,0.064912,0.672727,0.118400,55,1663,37,533,18,1130
19,7.492973,1.566687,0.015351,0.700000,0.030043,10,2073,7,449,3,1624
20,,,,,,0,1758,0,0,0,0
21,10.696694,0.505381,0.067395,0.711538,0.123128,52,1938,37,512,15,1426
22,11.962717,0.429142,0.039326,0.913043,0.075404,23,1814,21,513,2,1301
23,11.245848,0.649087,0.060890,0.928571,0.114286,28,1638,26,401,2,1237
24,9.475403,0.673896,0.082126,0.772727,0.148472,66,1806,51,570,15,1236
25,18.529279,0.383135,0.038997,0.823529,0.074468,17,2373,14,345,3,2028
26,,,,,,0,1637,0,0,0,0
27,18.033002,0.585220,0.115207,1.000000,0.206612,25,1629,25,192,0,1437
28,11.563643,0.481994,0.088269,0.775510,0.158498,98,3155,76,785,22,2370
29,9.566086,0.781954,0.099609,0.784615,0.176776,65,1728,51,461,14,1267
30,,,,,,0,2085,0,0,0,0
31,10.960308,0.476953,0.152878,0.923913,0.262346,92,1954,85,471,7,1483
32,8.442175,0.770538,0.192513,0.782609,0.309013,138,1519,108,453,30,1066
33,12.681840,-1.760205,0.006818,0.600000,0.013483,5,2168,3,437,2,1731
